feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
540,Feature 540,0.8581291283878836,0.8679919675735717,0.8586920733197215,1754,484,3508,438325
541,Feature 541,0.8564238637216608,0.9041305495117933,0.8534296856474345,4123,1209,8246,438325
542,Feature 542,0.907871173573977,0.9303580514564151,0.9095408611030933,4870,751,9740,438325
543,Feature 543,0.9414642110109915,0.9684187554052521,0.9471437699469153,1742,558,3484,438325
544,Feature 544,0.9156164076947731,0.9249285186053238,0.9154892573849662,2634,742,5268,438325
545,Feature 545,0.8349424664709084,0.8021810462937472,0.8334926702624159,896,172,1792,438325
546,Feature 546,0.9528467221049955,0.9398364828592498,0.9528679625244585,2380,630,4760,438325
547,Feature 547,0.9794344850543878,0.9797262039624979,0.9802910930666557,2237,595,4474,438325
548,Feature 548,0.9842225976686828,0.9905947976011481,0.9936183885551446,322,32,644,438325
549,Feature 549,0.623756358792066,0.7174493290250848,0.621499494220426,431188,121078,862376,438325
550,Feature 550,,,,14,14,0,438325
551,Feature 551,0.9653147619194917,0.9763505338530686,0.9641489175300282,583,179,1166,438325
552,Feature 552,0.8364205448725363,0.9111016307773645,0.8361108225202489,10230,2748,20460,438325
553,Feature 553,0.9180176384780465,0.934565468398924,0.9214678741817055,11970,3151,23940,438325
554,Feature 554,0.6908503365668023,0.8224445157019084,0.6854181033519745,508,599,1016,438325
555,Feature 555,0.8619768101886066,0.8768354998134714,0.867027369304127,2398,589,4796,438325
556,Feature 556,0.815716526316209,0.8363935018684342,0.817819096203814,7082,1840,14164,438325
557,Feature 557,0.7172951231493739,0.8452068509972133,0.712284529699123,3565,1462,7130,438325
558,Feature 558,0.9151309564726149,0.9246337426563109,0.9163672990056996,1907,422,3814,438325
559,Feature 559,0.9333717351262146,0.9657633711123147,0.9349254423207023,2451,681,4902,438325
560,Feature 560,0.8786559084222998,0.9387981783063435,0.8774846744195223,3949,964,7898,438325
561,Feature 561,0.7971215553188686,0.8594895267354823,0.7971845520505783,312,69,624,438325
562,Feature 562,0.8185339488038834,0.8674513877298551,0.8225336523280662,537,227,1074,438325
563,Feature 563,0.9922587956994156,0.9984073486701073,0.991719473189803,373,90,746,438325
564,Feature 564,0.7421293029183226,0.8278986757262479,0.7417123616670468,18175,5253,36350,438325
565,Feature 565,0.8068359832147071,0.88294413994256,0.8093199701781832,7626,2093,15252,438325
566,Feature 566,0.7540133311957941,0.8091971407422407,0.7572950724462592,1687,411,3374,438325
567,Feature 567,0.7397221887996848,0.7929213898575828,0.741528556052475,4562,1199,9124,438325
568,Feature 568,0.6803867701788133,0.8307239605080208,0.6814228674848607,2649,686,5298,438325
569,Feature 569,0.7409958304145904,0.8312124090411648,0.7446767845880397,11895,2300,23790,438325
570,Feature 570,0.8634538553128884,0.8916965376069396,0.8632330693314121,4708,1485,9416,438325
571,Feature 571,0.9912454896214913,0.9974302873526713,0.9847143260831921,1111,243,2222,438325
572,Feature 572,0.9931275989211873,0.9969839017464397,0.9942142264777256,2054,496,4108,438325
573,Feature 573,0.8615007662618588,0.8802563691933163,0.8608124491943144,9424,2639,18848,438325
574,Feature 574,0.8488420047815336,0.7493505030998125,0.8369960148639908,275,145,550,438325
575,Feature 575,0.7443250948020026,0.7718781524893268,0.7425976840485667,2763,824,5526,438325
576,Feature 576,0.8250198982970556,0.8657829889056826,0.8222519682013809,2747,671,5494,438325
577,Feature 577,0.6386314545852593,0.7697954409700511,0.6453098320275976,1835,424,3670,438325
578,Feature 578,0.9841522017847848,0.9843926746808501,0.9851431187613984,2624,675,5248,438325
579,Feature 579,0.9802630258270674,0.9840830548034918,0.9795967698552731,2516,654,5032,438325
580,Feature 580,0.6340911459581424,0.7154332530985146,0.6379929816917029,814,156,1628,438325
581,Feature 581,0.9900737269795102,0.9922125623652129,0.9887997714868189,1021,266,2042,438325
582,Feature 582,0.9469515197345209,0.9600280287440405,0.946746170229886,6128,1545,12256,438325
583,Feature 583,0.9897641729058315,0.9865457888018899,0.9891867342338052,3413,900,6826,438325
584,Feature 584,0.64042088580329,0.7130970689433613,0.656135854496767,38232,11109,76464,438325
585,Feature 585,0.7737509428211136,0.8361142572486696,0.7752575147401319,4944,1496,9888,438325
586,Feature 586,0.949988888195618,0.9624435837306249,0.9491119152603285,12596,3405,25192,438325
