feature_id,layer12_width16k_l0_82_probe_a,layer20_width16k_l0_71_probe_a,layer25_width16k_l0_116_probe_a,best_layer,best_auc,worst_auc,spread
515,0.731440267842995,0.9394153842342488,0.7674333622326155,layer20_width16k_l0_71_probe_a,0.9394153842342488,0.731440267842995,0.20797511639125377
516,0.7740244241135412,0.894921655830388,0.8551687363667538,layer20_width16k_l0_71_probe_a,0.894921655830388,0.7740244241135412,0.12089723171684674
517,0.8559585256846995,0.9972700782809182,0.711919141275993,layer20_width16k_l0_71_probe_a,0.9972700782809182,0.711919141275993,0.2853509370049252
518,0.7599233289077943,0.7544118460137741,0.7774687363702374,layer25_width16k_l0_116_probe_a,0.7774687363702374,0.7544118460137741,0.0230568903564633
519,0.9887827032937812,0.9666846416870336,0.6424776638136374,layer12_width16k_l0_82_probe_a,0.9887827032937812,0.6424776638136374,0.3463050394801438
520,0.8688432431592864,0.9273526768302244,0.9251235116402656,layer20_width16k_l0_71_probe_a,0.9273526768302244,0.8688432431592864,0.05850943367093797
521,0.82927266650744,0.8613984459671489,0.7134140491678649,layer20_width16k_l0_71_probe_a,0.8613984459671489,0.7134140491678649,0.147984396799284
522,0.8331054052355867,0.9270819399052828,0.9265252185289,layer20_width16k_l0_71_probe_a,0.9270819399052828,0.8331054052355867,0.09397653466969602
523,0.9322681785900324,0.7896116537314906,0.7078135292481237,layer12_width16k_l0_82_probe_a,0.9322681785900324,0.7078135292481237,0.22445464934190873
524,0.9033718595502724,0.8493157766414393,0.6671413768059548,layer12_width16k_l0_82_probe_a,0.9033718595502724,0.6671413768059548,0.23623048274431768
525,0.7845957861266948,0.920146172931784,0.8300621245202502,layer20_width16k_l0_71_probe_a,0.920146172931784,0.7845957861266948,0.13555038680508924
526,0.9910932750224482,,0.8358053495283309,layer12_width16k_l0_82_probe_a,0.9910932750224482,0.8358053495283309,0.1552879254941173
527,0.9297910371442628,0.9870633634592848,0.6600966972364938,layer20_width16k_l0_71_probe_a,0.9870633634592848,0.6600966972364938,0.326966666222791
528,0.7608186595390429,0.8096584525257489,0.9869378948526668,layer25_width16k_l0_116_probe_a,0.9869378948526668,0.7608186595390429,0.22611923531362388
529,0.9923222757547884,0.8312916722887685,0.7851822396582391,layer12_width16k_l0_82_probe_a,0.9923222757547884,0.7851822396582391,0.2071400360965493
530,0.8457501307990247,0.6697791957991119,0.7733747680182774,layer12_width16k_l0_82_probe_a,0.8457501307990247,0.6697791957991119,0.1759709349999128
531,0.7016339133678927,0.958586373477373,0.6189141255715669,layer20_width16k_l0_71_probe_a,0.958586373477373,0.6189141255715669,0.3396722479058061
532,0.6554937901868708,0.9570041616660164,0.605334418167253,layer20_width16k_l0_71_probe_a,0.9570041616660164,0.605334418167253,0.35166974349876345
533,0.9634223463831644,0.9283006567644247,0.8050122546077223,layer12_width16k_l0_82_probe_a,0.9634223463831644,0.8050122546077223,0.15841009177544207
534,0.9319578112011112,0.9659374233901996,0.7174793835039671,layer20_width16k_l0_71_probe_a,0.9659374233901996,0.7174793835039671,0.2484580398862325
535,0.9878744114300076,0.9744702695857594,0.9353787763266528,layer12_width16k_l0_82_probe_a,0.9878744114300076,0.9353787763266528,0.052495635103354865
536,0.9973607444083054,0.9936808745850132,0.6697554436940436,layer12_width16k_l0_82_probe_a,0.9973607444083054,0.6697554436940436,0.32760530071426175
537,0.8434034051842448,0.9753982230366798,0.7577423879223151,layer20_width16k_l0_71_probe_a,0.9753982230366798,0.7577423879223151,0.2176558351143647
538,0.7418129914674121,0.8802310962763479,0.8982499687731871,layer25_width16k_l0_116_probe_a,0.8982499687731871,0.7418129914674121,0.156436977305775
539,0.6457232765611753,0.9979305309078456,0.930970105251018,layer20_width16k_l0_71_probe_a,0.9979305309078456,0.6457232765611753,0.3522072543466702
540,0.985561662623554,0.8770479020315529,0.6454410071532967,layer12_width16k_l0_82_probe_a,0.985561662623554,0.6454410071532967,0.3401206554702574
541,0.8745038483330847,0.908960913325495,0.8415858927426352,layer20_width16k_l0_71_probe_a,0.908960913325495,0.8415858927426352,0.06737502058285982
542,0.8353318953000735,0.8834893133106974,0.975260261686378,layer25_width16k_l0_116_probe_a,0.975260261686378,0.8353318953000735,0.13992836638630457
543,0.8812941192843267,0.9435498521106672,0.6062975977919118,layer20_width16k_l0_71_probe_a,0.9435498521106672,0.6062975977919118,0.3372522543187554
544,0.9866362292795856,0.937285260184712,0.9096521847671531,layer12_width16k_l0_82_probe_a,0.9866362292795856,0.9096521847671531,0.07698404451243246
545,0.9099324981526228,0.8127450538584748,0.9831340055748048,layer25_width16k_l0_116_probe_a,0.9831340055748048,0.8127450538584748,0.17038895171632995
546,0.9195938063880448,0.9394798308945124,0.5931609179765547,layer20_width16k_l0_71_probe_a,0.9394798308945124,0.5931609179765547,0.3463189129179577
547,0.9625806881286352,0.9814361679132964,0.8253841648629706,layer20_width16k_l0_71_probe_a,0.9814361679132964,0.8253841648629706,0.15605200305032574
548,0.7007581835435149,0.994412884434004,0.93475444442113,layer20_width16k_l0_71_probe_a,0.994412884434004,0.7007581835435149,0.29365470089048906
549,0.84195607662402,0.6015276237862058,0.70229418796415,layer12_width16k_l0_82_probe_a,0.84195607662402,0.6015276237862058,0.2404284528378141
550,0.8921367692748916,,0.8529136162820352,layer12_width16k_l0_82_probe_a,0.8921367692748916,0.8529136162820352,0.03922315299285639
551,0.979387872729349,0.9725822988299028,0.9624402220011472,layer12_width16k_l0_82_probe_a,0.979387872729349,0.9624402220011472,0.016947650728201813
552,0.8222156307095483,0.8676611137679022,0.9743988704201244,layer25_width16k_l0_116_probe_a,0.9743988704201244,0.8222156307095483,0.15218323971057612
553,0.7922541585104557,0.9198108981184148,0.7069553254086888,layer20_width16k_l0_71_probe_a,0.9198108981184148,0.7069553254086888,0.212855572709726
554,0.8624925284525848,0.6565342580829163,0.6334999683671829,layer12_width16k_l0_82_probe_a,0.8624925284525848,0.6334999683671829,0.22899256008540192
555,0.7313271416390568,0.8486848565710791,0.8106660254286617,layer20_width16k_l0_71_probe_a,0.8486848565710791,0.7313271416390568,0.1173577149320223
556,0.9123275222197628,0.852412460428048,0.7666557670479376,layer12_width16k_l0_82_probe_a,0.9123275222197628,0.7666557670479376,0.14567175517182518
557,0.7624029658295696,0.7332010028871232,0.7314043991332626,layer12_width16k_l0_82_probe_a,0.7624029658295696,0.7314043991332626,0.03099856669630696
558,0.9778557118452726,0.9188001413057376,0.9874565421378344,layer25_width16k_l0_116_probe_a,0.9874565421378344,0.9188001413057376,0.06865640083209679
559,0.8669719770275957,0.9430538136704848,0.6420825468553824,layer20_width16k_l0_71_probe_a,0.9430538136704848,0.6420825468553824,0.30097126681510245
560,0.9177962774223944,0.8553328934064038,0.8849737108052023,layer12_width16k_l0_82_probe_a,0.9177962774223944,0.8553328934064038,0.06246338401599061
561,0.8169903689302811,0.8148343821727395,0.8353882915308978,layer25_width16k_l0_116_probe_a,0.8353882915308978,0.8148343821727395,0.020553909358158262
562,0.8848678295089738,0.9016054851955612,0.7853583413794274,layer20_width16k_l0_71_probe_a,0.9016054851955612,0.7853583413794274,0.11624714381613377
563,0.8910212958460462,0.9859678350777916,0.9873438964035414,layer25_width16k_l0_116_probe_a,0.9873438964035414,0.8910212958460462,0.0963226005574952
564,0.9063547560682664,0.743972522793755,0.7394738411972032,layer12_width16k_l0_82_probe_a,0.9063547560682664,0.7394738411972032,0.16688091487106327
565,0.9866864977123944,0.8106583650662966,0.8587601120051104,layer12_width16k_l0_82_probe_a,0.9866864977123944,0.8106583650662966,0.17602813264609773
