feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,n_pos_train,n_pos_test,n_total_train,n_total_test
541,Feature 541,0.9951817220207195,0.9952272885216191,0.9954487869788989,2907,729,5814,100133
542,Feature 542,0.9570747057993065,0.9735135133041498,0.9567447067985992,3338,832,6676,100133
543,Feature 543,0.9332393345969344,0.9803479180384311,0.9276138731055626,279,57,558,100133
544,Feature 544,0.9646616583044919,0.9778640903327076,0.9661635379370715,3162,797,6324,100133
545,Feature 545,0.9058760662418346,0.9658692742563775,0.8938123014842486,82,15,164,100133
546,Feature 546,0.9989374744112629,0.999358938831156,0.9988626709379186,2862,722,5724,100133
547,Feature 547,1.0,1.0,1.0,2846,710,5692,100133
548,Feature 548,,,,22,4,0,100133
549,Feature 549,0.7014613976453832,0.7675397474061022,0.6765528353095862,122074,31153,244148,100133
550,Feature 550,0.9430871693311271,0.9470395608309121,0.9419314840631827,112,23,224,100133
551,Feature 551,0.9952970990358931,0.9983927050607709,0.9953271488740562,259,74,518,100133
552,Feature 552,0.9543597243861345,0.9643610738992593,0.9565156966443145,3341,862,6682,100133
553,Feature 553,0.9680377405889389,0.9748175127485633,0.9683508050360579,4412,1038,8824,100133
554,Feature 554,0.7467625108648956,0.8108665191372024,0.7505980687960196,156,40,312,100133
555,Feature 555,0.986304362187742,0.9865455619127796,0.9862049475015306,3341,820,6682,100133
556,Feature 556,0.8573918224774866,0.8776385115302002,0.8606279470683684,9852,2531,19704,100133
557,Feature 557,0.7927260787856246,0.9198417587427845,0.8013047949465857,2079,381,4158,100133
558,Feature 558,0.9225701647057845,0.9416810187056786,0.9216814472885521,1319,347,2638,100133
559,Feature 559,0.9661410362674555,0.9789158646002292,0.9667938838117149,872,168,1744,100133
560,Feature 560,0.9614072096189814,0.9678815101353861,0.9583254341551557,3432,864,6864,100133
561,Feature 561,0.8620977793991826,0.8916079269325481,0.8482818899210868,117,23,234,100133
562,Feature 562,,,,20,7,0,100133
563,Feature 563,0.9335406222899084,0.9917466327295632,0.9461457062748388,36,17,72,100133
564,Feature 564,0.8066104616207772,0.8434951983052127,0.8051477224610175,9293,2460,18586,100133
565,Feature 565,0.9085276151037367,0.9356026721237388,0.9089304887881254,4643,1196,9286,100133
566,Feature 566,0.7898231132706482,0.8007304559455012,0.7839707257827617,979,292,1958,100133
567,Feature 567,0.7776353346108841,0.8260371646884741,0.7811366558105458,3336,690,6672,100133
568,Feature 568,0.7901495670992345,0.8678342358183307,0.8040850574818645,423,39,846,100133
569,Feature 569,0.7223299666698434,0.7719194684228743,0.7210130461606368,3892,965,7784,100133
570,Feature 570,0.8761724571212706,0.874134812572224,0.876050980643453,2315,574,4630,100133
571,Feature 571,0.987326796406355,0.9980272686410627,0.981482683802516,59,18,118,100133
572,Feature 572,0.9987622975566709,0.9987301709365364,0.9988615915886936,2846,711,5692,100133
573,Feature 573,0.9336221254398898,0.9377632302821748,0.9343053972856401,4986,1177,9972,100133
574,Feature 574,,,,0,0,0,100133
575,Feature 575,0.7873190570106798,0.7742536256300944,0.7935158026798962,1457,385,2914,100133
576,Feature 576,0.8652997861173117,0.907031122801551,0.864234821614275,693,234,1386,100133
577,Feature 577,0.7346758867579025,0.8538732071664102,0.7389345182829616,1132,202,2264,100133
578,Feature 578,0.9844138701067611,0.984501905979611,0.9854856197580556,3067,764,6134,100133
579,Feature 579,0.9984030938729601,0.9991403211772092,0.9983632797686328,2891,717,5782,100133
580,Feature 580,0.7737184452530419,0.7850265750471522,0.7506976347163741,99,22,198,100133
581,Feature 581,0.9993144858606686,0.9998593818856556,0.9993137404761825,3050,756,6100,100133
582,Feature 582,0.9840017878156357,0.9878183176013855,0.9836901430649153,3536,884,7072,100133
583,Feature 583,0.9977775597737409,0.9989354317934335,0.9977943653427044,34253,8471,68506,100133
584,Feature 584,0.6583415076331144,0.6951297586889991,0.6579250230223412,7309,1720,14618,100133
585,Feature 585,0.7885260669322651,0.8821232081951003,0.8413127243674718,2426,448,4852,100133
586,Feature 586,0.965679064961828,0.9685528333684679,0.9650615309653557,7059,1759,14118,100133
587,Feature 587,0.9999908045646476,0.9999889654775771,0.9998642976661622,2881,722,5762,100133
588,Feature 588,0.7884045198324146,0.8161015293894063,0.7847752533789772,1068,342,2136,100133
589,Feature 589,,,,20,5,0,100133
590,Feature 590,0.9992864218429672,0.999649925509159,0.9989845078500871,2978,747,5956,100133
591,Feature 591,0.9872508212401034,0.9850683971743756,0.9875439547702702,3026,775,6052,100133
592,Feature 592,0.7525518877146992,0.8442379589786186,0.760614056804976,1064,277,2128,100133
593,Feature 593,,,,0,0,0,100133
594,Feature 594,0.9702363580833446,0.9744764565705926,0.9689937672503507,195,53,390,100133
595,Feature 595,,,,38,9,0,100133
596,Feature 596,0.7747447958039535,0.7642701866907263,0.7706715807418596,916,245,1832,100133
597,Feature 597,0.9672101814038393,0.9795522977631795,0.9729950000845359,145,39,290,100133
598,Feature 598,0.9903106222601639,0.9953287116971954,0.9912837049582626,3142,733,6284,100133
599,Feature 599,0.7713164061221766,0.830883918902199,0.7636346183682807,1827,479,3654,100133
600,Feature 600,0.9206523613586673,0.9444414423032884,0.9191011923619385,4334,1118,8668,100133
