feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc,probe_a_auc_diff,probe_b_auc_diff,probe_c_auc_diff
636,Feature 636,0.8254600335743801,0.8795583677685951,0.8203399405991736,-0.15367318019054677,-0.13142969239732027,-0.1500132686167157
639,Feature 639,0.9613344725186196,0.9906656962061746,0.9502238130002014,0.006808494097281459,0.0010811157574985852,0.005411252036298886
644,Feature 644,0.9365025119905217,0.979175743227119,0.9200688088223837,0.01671895179420768,0.0032582317903482316,0.00812967673525311
648,Feature 648,0.9999612603305785,0.9998773243801653,0.9999612603305785,8.83834379605819e-06,-0.00017882941355507054,8.83834379605819e-06
649,Feature 649,0.9992316929871002,0.9999096109396589,0.9991671293725707,0.00017528178690229268,9.038906034108951e-05,0.00023984540143195954
650,Feature 650,0.7324635812522621,0.7656111046481566,0.7159741611085259,0.043992844426513855,0.031074813120710476,0.044126558064773946
655,Feature 655,0.9877230199541293,0.9942978364220207,0.9864415407716516,0.0019448973912199463,0.0019226271990978594,0.004524492729208851
663,Feature 663,0.9117604212119766,0.9586396965212065,0.9103948398809256,0.010884868979885054,0.005328782697242906,0.010845325548166307
665,Feature 665,0.9977690560900249,0.998424322264843,0.9983722808353067,-0.00033357362825225945,-0.0031657624875722767,-0.0006658924394628007
666,Feature 666,0.9361080457463884,0.9695899863433957,0.9275771177445244,0.01672512906205037,0.005246006962776217,0.0071781339647150055
668,Feature 668,0.8742863566515876,0.918203728824373,0.8707599099668745,0.022301326276077504,0.01830901545287067,0.016664959494376297
