feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc
591,Feature 591,0.9927832514320607,0.9937604664010933,0.9924792300311127
592,Feature 592,0.7307799680399583,0.8134895668184513,0.7353016567827861
593,Feature 593,,,
594,Feature 594,0.967865563968477,0.984012454263109,0.9717334402997768
595,Feature 595,0.8219723514782367,0.9217761148219062,0.825913623562553
596,Feature 596,0.7207647258751861,0.7530782504117755,0.7090836797476187
597,Feature 597,0.8960798261756645,0.9144346875229199,0.8868656195200662
598,Feature 598,0.990691389673282,0.9949218475737912,0.9903308711673502
599,Feature 599,0.7767889071163562,0.8558285259734292,0.7734906187300885
600,Feature 600,0.9437520313295116,0.9586450741542303,0.9446960402953172
